hh,mm,ss,ms,time_s,Weight_g,MCwb,MCdb,Drying_rate
16.0,27.0,34.0,301303.0,0.0,296.1600000000001,0.9,9.0,0.0
16.0,28.0,4.0,303330.0,30.0,295.98,0.8993922204213937,8.993922204213936,0.00020259319286879119
16.0,28.0,34.0,302747.0,60.0,295.8399999999999,0.8989195029713664,8.989195029713663,0.0001800828381056206
16.0,29.0,4.0,302070.0,90.0,295.6600000000001,0.8983117233927608,8.983117233927606,0.00018758628969325883
16.0,29.0,34.0,304518.0,120.0,295.5,0.8977714748784439,8.977714748784438,0.00018571042679634927
16.0,30.0,4.0,306762.0,150.0,295.29999999999995,0.897096164235548,8.97096164235548,0.00019358905096347178
16.0,30.0,34.0,305575.0,180.0,295.0999999999999,0.8964208535926521,8.96420853592652,0.00019884146707488677
16.0,31.0,4.0,305166.0,210.0,294.8799999999999,0.8956780118854667,8.956780118854667,0.00020580895783492184
16.0,31.0,34.0,309772.0,240.0,294.6399999999999,0.8948676391139918,8.948676391139918,0.00021384837025034448
16.0,32.0,4.0,308963.0,270.0,294.44000000000005,0.8941923284710966,8.941923284710967,0.0002150989455149402
16.0,32.0,34.0,310532.0,300.0,294.1600000000001,0.8932468935710428,8.932468935710427,0.0002251035476319106
16.0,33.0,4.0,307851.0,330.0,293.9200000000001,0.8924365207995678,8.924365207995677,0.00022919633940703715
16.0,33.0,34.0,309229.0,360.0,293.68000000000006,0.8916261480280929,8.916261480280928,0.00023260699921964266
16.0,34.0,4.0,316925.0,390.0,293.39999999999986,0.8906807131280382,8.906807131280381,0.0002389560736400471
16.0,34.0,34.0,314061.0,420.0,293.1600000000001,0.8898703403565641,8.89870340356564,0.00024118237246276134
16.0,35.0,4.0,313157.0,450.0,292.96000000000004,0.8891950297136683,8.891950297136681,0.00024011045080737472
16.0,35.0,34.0,316215.0,480.0,292.6199999999999,0.888047001620745,8.880470016207449,0.00024902079956781454
16.0,36.0,4.0,317232.0,510.0,292.3799999999999,0.88723662884927,8.8723662884927,0.00025026217942607855
16.0,36.0,34.0,320493.0,540.0,292.0799999999999,0.8862236628849266,8.862236628849265,0.0002551173539828417
16.0,37.0,4.0,320475.0,570.0,291.81999999999994,0.8853457590491622,8.85345759049162,0.00025709194650592754
16.0,37.0,34.0,322547.0,600.0,291.5,0.8842652620205292,8.842652620205293,0.00026224563299118045
16.0,38.0,4.0,319752.0,630.0,291.22,0.8833198271204753,8.833198271204752,0.0002647646488813454
16.0,38.0,34.0,321253.0,660.0,290.9200000000001,0.8823068611561319,8.823068611561318,0.00026807786127073033
16.0,39.0,4.0,322102.0,690.0,290.5999999999999,0.8812263641274981,8.812263641274981,0.0002720816793116221
16.0,39.0,34.0,324535.0,720.0,290.26,0.8800783360345756,8.800783360345756,0.00027668977729756105
16.0,40.0,4.0,326966.0,750.0,289.9200000000001,0.8789303079416532,8.789303079416532,0.00028092922744462484
16.0,40.0,34.0,328261.0,780.0,289.5999999999999,0.8778498109130195,8.778498109130194,0.0002839767831664178
16.0,41.0,4.0,333874.0,810.0,289.29999999999995,0.8768368449486761,8.76836844948676,0.0002859648771768399
16.0,41.0,34.0,332045.0,840.0,289.0,0.8758238789843326,8.758238789843325,0.00028781096447223184
16.0,42.0,4.0,332879.0,870.0,288.6600000000001,0.8746758508914101,8.7467585089141,0.0002910821736619534
16.0,42.0,34.0,332027.0,900.0,288.39999999999986,0.873797947055645,8.737979470556448,0.0002911339216039459
16.0,43.0,4.0,331360.0,930.0,288.05999999999995,0.8726499189627225,8.726499189627225,0.00029408689287395266
16.0,43.0,34.0,332999.0,960.0,287.76,0.8716369529983791,8.71636952998379,0.0002954484062668858
16.0,44.0,4.0,333309.0,990.0,287.44000000000005,0.8705564559697461,8.70556455969746,0.0002974095356591313
16.0,44.0,34.0,333008.0,1020.0,287.24,0.8698811453268502,8.698811453268501,0.00029528288895244986
16.0,45.0,4.0,334701.0,1050.0,286.98,0.8690032414910858,8.690032414910856,0.00029520722389442196
16.0,45.0,34.0,337107.0,1080.0,286.6600000000001,0.8679227444624528,8.679227444624528,0.00029701162534765985
16.0,46.0,4.0,338580.0,1110.0,286.22,0.866437061048082,8.66437061048082,0.00030236881938664915
16.0,46.0,34.0,339503.0,1140.0,285.89999999999986,0.8653565640194483,8.653565640194483,0.0003038897893030858
16.0,47.0,4.0,340765.0,1170.0,285.6399999999999,0.8644786601836839,8.644786601836838,0.0003036011950112496
16.0,47.0,34.0,341857.0,1200.0,285.29999999999995,0.8633306320907613,8.633306320907613,0.0003055780659103222
16.0,48.0,4.0,343055.0,1230.0,285.0,0.8623176661264179,8.623176661264178,0.0003063604379966025
16.0,48.0,34.0,344179.0,1260.0,284.68000000000006,0.8612371690977849,8.612371690977849,0.000307641515096945
16.0,49.0,4.0,345820.0,1290.0,284.46000000000004,0.8604943273905995,8.604943273905995,0.00030624552410387956
16.0,49.0,34.0,345945.0,1320.0,284.20000000000005,0.8596164235548351,8.59616423554835,0.000305936185190643
16.0,50.0,4.0,348210.0,1350.0,283.8399999999999,0.8584008643976223,8.584008643976222,0.00030814174520279726
16.0,50.0,34.0,350705.0,1380.0,283.46000000000004,0.8571177741761209,8.571177741761208,0.00031074076683970377
16.0,51.0,4.0,350859.0,1410.0,283.1399999999999,0.8560372771474871,8.56037277147487,0.00031179236065611947
16.0,51.0,34.0,353313.0,1440.0,282.81999999999994,0.8549567801188541,8.549567801188541,0.0003128001380635125
16.0,52.0,4.0,354057.0,1470.0,282.53999999999996,0.8540113452188003,8.540113452188002,0.0003128479917088417
